Aasta,Sugu,Maakond,Rahvused kokku,Eestlased,Muud rahvused,Venelased,Ukrainlased,Valgevenelased,Soomlased,Tatarlased,Lätlased,Poolakad,Juudid,Leedulased,Sakslased,Armeenlased,Aserbaidžaanid,Rahvus teadmata
2021,Naised,Viljandi maakond,23601,22514,1081,625,137,36,119,7,38,17,1,22,16,5,0,6
2021,Naised,Võru maakond,17678,16748,921,699,62,21,35,1,26,6,0,7,13,1,0,9
2021,Naised,Maakond teadmata,1282,407,300,122,22,6,90,2,17,2,3,1,4,1,0,575
2022,Mehed ja naised,Kogu Eesti,1331796,919693,405391,315242,27826,11605,8543,1938,3827,1845,1852,2097,2701,1666,1546,6712
2022,Mehed ja naised,Harju maakond,614561,372243,237348,178165,18884,7472,4226,1306,1812,1148,1572,1386,1473,1218,1177,4970
2022,Mehed ja naised,Hiiu maakond,8497,8330,158,55,16,6,19,0,8,0,2,0,6,1,0,9
2022,Mehed ja naised,Ida-Viru maakond,132736,24489,108056,97227,3265,2720,1065,433,288,338,115,263,345,188,119,191
2022,Mehed ja naised,Jõgeva maakond,27857,25314,2461,1906,184,53,121,11,36,2,1,17,24,11,0,82
2022,Mehed ja naised,Järva maakond,29693,27998,1593,706,413,47,188,3,32,19,3,11,32,11,8,102
2022,Mehed ja naised,Lääne maakond,20227,17904,2256,1611,199,76,93,19,27,8,5,30,29,1,0,67
2022,Mehed ja naised,Lääne-Viru maakond,58709,51028,7509,5385,818,230,416,24,74,46,10,66,54,21,29,172
2022,Mehed ja naised,Põlva maakond,23989,22814,1134,795,133,11,62,3,23,3,1,4,23,1,4,41
2022,Mehed ja naised,Pärnu maakond,85705,76538,8959,5751,1171,247,555,46,239,51,19,81,136,40,11,208
2022,Mehed ja naised,Rapla maakond,33529,31507,1936,1095,247,84,159,9,46,14,4,13,54,9,16,86
2022,Mehed ja naised,Saare maakond,31292,30584,664,211,84,10,140,3,17,11,2,19,35,0,2,44
2022,Mehed ja naised,Tartu maakond,157758,133416,23978,16491,1507,377,1121,56,326,155,102,137,360,130,173,364
2022,Mehed ja naised,Valga maakond,27650,22009,5497,3516,451,174,84,15,762,18,9,34,51,22,4,144
2022,Mehed ja naised,Viljandi maakond,45411,43211,2116,1110,315,65,231,8,67,20,3,27,41,10,2,84
2022,Mehed ja naised,Võru maakond,34182,32308,1726,1218,139,33,63,2,70,12,4,9,38,3,1,148
